,#,num_hidden_layers,neurons_per_layer,CANN,embedding_dim,batch_size,epochs,training_loss,testing_loss,bell_dev_data,portfolio_avg,alpha
76,76,3,"(100, 80, 60)",0,3,10000,50,0.29601791501045227,0.29030340909957886,0.43224594,0.005459486911762755,0.1
77,77,3,"(100, 80, 60)",0,3,10000,50,0.2959313988685608,0.29034990072250366,0.4286899,0.005668763781502498,0.1
78,78,3,"(100, 80, 60)",0,3,10000,50,0.2961536943912506,0.29082801938056946,0.4220137,0.00608657593522044,0.1
79,79,3,"(100, 80, 60)",0,3,10000,100,0.2966149151325226,0.2914644479751587,0.41746646,0.006391178930727103,0.1
80,80,3,"(100, 80, 60)",0,3,10000,100,0.2959350049495697,0.2903331518173218,0.42923817,0.005635916911822028,0.1
81,81,3,"(100, 80, 60)",0,3,10000,100,0.29595112800598145,0.29046040773391724,0.42631635,0.005813474117615616,0.1
82,82,3,"(100, 80, 60)",0,3,10000,100,0.2960463762283325,0.2906540632247925,0.42374328,0.005975083978555511,0.1
83,83,3,"(100, 80, 60)",0,3,10000,500,0.29606345295906067,0.2906811833381653,0.4234482,0.005994080880103448,0.1
84,84,3,"(100, 80, 60)",0,3,10000,500,0.2966862916946411,0.29155731201171875,0.4169286,0.006428348034384512,0.1
85,85,3,"(100, 80, 60)",0,3,10000,500,0.29611095786094666,0.2907605469226837,0.4226398,0.006045947360311793,0.1
86,86,3,"(100, 80, 60)",0,3,10000,500,0.2959381341934204,0.29041972756385803,0.42704555,0.0057685757547599106,0.1
87,87,3,"(100, 80, 60)",0,3,100000,50,0.2959294319152832,0.29036352038383484,0.42830607,0.005691886181276916,0.1
88,88,3,"(100, 80, 60)",0,3,100000,50,0.29593008756637573,0.29035353660583496,0.42859682,0.005674360559024666,0.1
89,89,3,"(100, 80, 60)",0,3,100000,50,0.29618266224861145,0.29036256670951843,0.43506736,0.0052996003249360666,0.1
90,90,3,"(100, 80, 60)",0,3,100000,50,0.29593122005462646,0.2903955280780792,0.4275422,0.005738222500592996,0.1
91,91,3,"(100, 80, 60)",0,3,100000,100,0.2960651218891144,0.29031428694725037,0.43319982,0.0054048345545960495,0.1
92,92,3,"(100, 80, 60)",0,3,100000,100,0.29595473408699036,0.29031065106391907,0.43035966,0.005569393319949002,0.1
93,93,3,"(100, 80, 60)",0,3,100000,100,0.2963433563709259,0.29110273718833923,0.41981906,0.0062314708002989055,0.1
94,94,3,"(100, 80, 60)",0,3,100000,100,0.2959311008453369,0.290395051240921,0.42756522,0.005736820332731867,0.1
95,95,3,"(100, 80, 60)",0,3,100000,500,0.29874372482299805,0.2940088212490082,0.40693492,0.0071663254554193275,0.1
96,96,3,"(100, 80, 60)",0,3,100000,500,0.29595354199409485,0.29046696424484253,0.42620155,0.005820576365198597,0.1
97,97,3,"(100, 80, 60)",0,3,100000,500,0.2959415018558502,0.29043230414390564,0.42679858,0.005783738089794072,0.1
98,98,3,"(100, 80, 60)",0,3,100000,500,0.29593443870544434,0.290412038564682,0.42720833,0.00575860769010401,0.1
99,99,3,"(100, 80, 60)",0,3,600000,50,0.29602375626564026,0.29030242562294006,0.43239057,0.005451477607791854,0.1
